;cadaster;hour;predicted_throttle;actual_throttle
0;79501:028:0018;17;1.867;0.196
0;79501:028:0018;18;0;0
0;79501:028:0018;19;0;0
0;79501:028:0018;20;7.604;6.222
0;79501:028:0018;21;0;0
0;79501:028:0018;22;0;1.221
0;79501:028:0018;23;0;0
0;79508:053:0001;0;9.742;14.582
0;79508:053:0001;1;4.965;1.825
0;79508:053:0001;2;4.729;2.573
0;79508:053:0001;3;1.221;2.034
0;79508:053:0001;4;1.884;6.727
0;79508:053:0001;5;2.339;1.782
0;79508:053:0001;6;9.398;9.656
0;79508:053:0001;7;7.086;6.584
0;79508:053:0001;8;10.786;10.569
0;79508:053:0001;9;6.203;3.749
0;79508:053:0001;10;10.98;9.161
0;79508:053:0001;11;7.562;7.201
0;79508:053:0001;12;8.756;6.918
0;79508:053:0001;13;9.146;8.118
0;79508:053:0001;14;7.191;5.958
0;79508:053:0001;15;4.927;3.264
0;79508:053:0001;16;5.795;5.648
0;79508:053:0001;17;8.068;7.461
0;79508:053:0001;18;8.785;9.09
0;79508:053:0001;19;10.627;11.624
0;79508:053:0001;20;7.628;8.475
0;79508:053:0001;21;10.601;9.6
0;79508:053:0001;22;4.674;2.774
0;79508:053:0001;23;9.707;11.834
0;79509:025:0008;0;0;0.432
0;79509:025:0008;1;0;1.852
0;79509:025:0008;2;0;0
0;79509:025:0008;3;0;0
0;79509:025:0008;4;0;0
0;79509:025:0008;5;1.544;0.711
0;79509:025:0008;6;10.346;10.15
0;79509:025:0008;7;11.327;8.968
0;79509:025:0008;8;14.158;9.608
0;79509:025:0008;9;35.892;37.85
0;79509:025:0008;10;12.079;11.048
0;79509:025:0008;11;23.884;20.395
0;79509:025:0008;12;23.475;16.808
0;79509:025:0008;13;9.873;8.021
0;79509:025:0008;14;17.457;10.932
0;79509:025:0008;15;10.856;6.313
0;79509:025:0008;16;8.974;5.371
0;79509:025:0008;17;16.006;16.809
0;79509:025:0008;18;0.895;0
0;79509:025:0008;19;16.133;16.137
0;79509:025:0008;20;3.604;1.742
0;79509:025:0008;21;2.547;0.749
0;79509:025:0008;22;3.917;0
0;79509:025:0008;23;10.185;7.422
0;79504:044:0020;0;8.266;11.112
0;79504:044:0020;1;2.841;0.5
0;79504:044:0020;2;5.092;2.06
0;79504:044:0020;3;3.062;2.024
0;79504:044:0020;4;4.166;2.702
0;79504:044:0020;5;0.079;0
0;79504:044:0020;6;3.158;3.296
0;79504:044:0020;7;1.997;3.773
0;79504:044:0020;8;1.841;2.127
0;79504:044:0020;9;2.805;7.046
0;79504:044:0020;10;4.576;4.225
0;79504:044:0020;11;2.177;4.515
0;79504:044:0020;12;0;0
0;79504:044:0020;13;4.087;4.597
0;79504:044:0020;14;3.239;3.869
0;79504:044:0020;15;3.631;7.907
0;79504:044:0020;16;3.719;3.499
0;79504:044:0020;17;3.747;4.106
0;79504:044:0020;18;6.201;5.922
0;79504:044:0020;19;6.549;3.95
0;79504:044:0020;20;6.458;7.32
0;79504:044:0020;21;4.852;3.889
0;79504:044:0020;22;3.118;3.583
0;79504:044:0020;23;2.633;4.032
0;79504:058:0032;0;0;0
0;79504:058:0032;1;0;2.068
0;79504:058:0032;2;0;0
0;79504:058:0032;3;0;0
0;79504:058:0032;4;0;0
0;79504:058:0032;5;0;0
0;79504:058:0032;6;0;0
0;79504:058:0032;7;0.049;0.444
0;79504:058:0032;8;5.668;3.661
0;79504:058:0032;9;5.373;4.644
0;79504:058:0032;10;0.547;0
0;79504:058:0032;11;2.718;1.456
0;79504:058:0032;12;2.091;0.7
0;79504:058:0032;13;5.759;3.75
0;79504:058:0032;14;0;0
0;79504:058:0032;15;1.187;0
0;79504:058:0032;16;1.766;1.752
0;79504:058:0032;17;1.319;0.756
0;79504:058:0032;18;0.18;0
0;79504:058:0032;19;2.094;3.424
0;79504:058:0032;20;6.519;4.575
0;79504:058:0032;21;3.463;7.775
0;79504:058:0032;22;1.242;0
0;79504:058:0032;23;0.824;3.085
0;79301:001:0749;0;6.076;5.724
0;79301:001:0749;1;7.931;15.282
0;79301:001:0749;2;6.904;11.448
